Survived,Gender,Passenger Class,Age
died,female,1st,2
died,female,1st,25
died,female,1st,36
died,female,1st,50
died,female,1st,63
died,female,2nd,
died,female,2nd,18
died,female,2nd,22
died,female,2nd,24
died,female,2nd,26
died,female,2nd,27
died,female,2nd,29
died,female,2nd,30
died,female,2nd,38
died,female,2nd,44
died,female,2nd,57
died,female,2nd,60
died,female,3rd,
died,female,3rd,1
died,female,3rd,2
died,female,3rd,3
died,female,3rd,6
died,female,3rd,8
died,female,3rd,9
died,female,3rd,10
died,female,3rd,11
died,female,3rd,14
died,female,3rd,14.5
died,female,3rd,16
died,female,3rd,17
died,female,3rd,18
died,female,3rd,18.5
died,female,3rd,19
died,female,3rd,20
died,female,3rd,21
died,female,3rd,22
died,female,3rd,23
died,female,3rd,24
died,female,3rd,25
died,female,3rd,26
died,female,3rd,27
died,female,3rd,28
died,female,3rd,29
died,female,3rd,30
died,female,3rd,30.5
died,female,3rd,31
died,female,3rd,32
died,female,3rd,35
died,female,3rd,36
died,female,3rd,37
died,female,3rd,38
died,female,3rd,39
died,female,3rd,40
died,female,3rd,41
died,female,3rd,43
died,female,3rd,45
died,female,3rd,47
died,female,3rd,48
died,male,1st,
died,male,1st,17
died,male,1st,18
died,male,1st,19
died,male,1st,21
died,male,1st,22
died,male,1st,23
died,male,1st,24
died,male,1st,25
died,male,1st,27
died,male,1st,28
died,male,1st,28.5
died,male,1st,29
died,male,1st,30
died,male,1st,31
died,male,1st,32.5
died,male,1st,33
died,male,1st,36
died,male,1st,37
died,male,1st,38
died,male,1st,39
died,male,1st,40
died,male,1st,41
died,male,1st,42
died,male,1st,44
died,male,1st,45
died,male,1st,45.5
died,male,1st,46
died,male,1st,47
died,male,1st,48
died,male,1st,49
died,male,1st,50
died,male,1st,51
died,male,1st,52
died,male,1st,54
died,male,1st,55
died,male,1st,56
died,male,1st,57
died,male,1st,58
died,male,1st,60
died,male,1st,61
died,male,1st,62
died,male,1st,64
died,male,1st,65
died,male,1st,67
died,male,1st,70
died,male,1st,71
died,male,2nd,
died,male,2nd,14
died,male,2nd,16
died,male,2nd,17
died,male,2nd,18
died,male,2nd,18.5
died,male,2nd,19
died,male,2nd,21
died,male,2nd,22
died,male,2nd,23
died,male,2nd,24
died,male,2nd,25
died,male,2nd,26
died,male,2nd,27
died,male,2nd,28
died,male,2nd,29
died,male,2nd,30
died,male,2nd,31
died,male,2nd,32
died,male,2nd,32.5
died,male,2nd,33
died,male,2nd,34
died,male,2nd,35
died,male,2nd,36
died,male,2nd,36.5
died,male,2nd,37
died,male,2nd,38
died,male,2nd,39
died,male,2nd,40
died,male,2nd,41
died,male,2nd,42
died,male,2nd,43
died,male,2nd,44
died,male,2nd,46
died,male,2nd,47
